source/locale/cs/LC_MESSAGES/characters.po : 179 translated, 0 fuzzy, 0 untranslated.
source/locale/cs/LC_MESSAGES/index.po : 4 translated, 0 fuzzy, 6 untranslated.
source/locale/cs/LC_MESSAGES/internal.po : 38 translated, 0 fuzzy, 0 untranslated.
source/locale/cs/LC_MESSAGES/matching.po : 12 translated, 0 fuzzy, 1 untranslated.
source/locale/cs/LC_MESSAGES/mathfunc.po : 321 translated, 0 fuzzy, 75 untranslated.
source/locale/cs/LC_MESSAGES/octave.po : 0 translated, 0 fuzzy, 6 untranslated.
source/locale/cs/LC_MESSAGES/programs.po : 25 translated, 0 fuzzy, 1 untranslated.
source/locale/cs/LC_MESSAGES/short.po : 62 translated, 0 fuzzy, 1 untranslated.
source/locale/cs/LC_MESSAGES/start.po : 9 translated, 0 fuzzy, 0 untranslated.
source/locale/cs/LC_MESSAGES/start_digi.po : 12 translated, 0 fuzzy, 0 untranslated.
source/locale/cs/LC_MESSAGES/start_opt.po : 26 translated, 0 fuzzy, 0 untranslated.
source/locale/cs/LC_MESSAGES/subcircuit.po : 8 translated, 0 fuzzy, 32 untranslated.
source/locale/de/LC_MESSAGES/characters.po : 179 translated, 0 fuzzy, 0 untranslated.
source/locale/de/LC_MESSAGES/index.po : 4 translated, 0 fuzzy, 6 untranslated.
source/locale/de/LC_MESSAGES/internal.po : 38 translated, 0 fuzzy, 0 untranslated.
source/locale/de/LC_MESSAGES/matching.po : 13 translated, 0 fuzzy, 0 untranslated.
source/locale/de/LC_MESSAGES/mathfunc.po : 396 translated, 0 fuzzy, 0 untranslated.
source/locale/de/LC_MESSAGES/octave.po : 0 translated, 0 fuzzy, 6 untranslated.
source/locale/de/LC_MESSAGES/programs.po : 22 translated, 0 fuzzy, 4 untranslated.
source/locale/de/LC_MESSAGES/short.po : 62 translated, 0 fuzzy, 1 untranslated.
source/locale/de/LC_MESSAGES/start.po : 9 translated, 0 fuzzy, 0 untranslated.
source/locale/de/LC_MESSAGES/start_digi.po : 9 translated, 0 fuzzy, 3 untranslated.
source/locale/de/LC_MESSAGES/start_opt.po : 26 translated, 0 fuzzy, 0 untranslated.
